analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,matched_control_n,full_5_matched,is_less_than_5_matched,is_february,is_2021_feb_cluster,is_ys0071,has_exact_hourly_row
FE_00146,FE_00146,,fire,1,YD_0006,2020-06-22 12:00:00,영동 해안형,6,12,2020-06-22,5,True,False,False,False,False,True
FE_00147,FE_00147,,fire,1,YD_0006,2020-12-24 16:00:00,영동 해안형,12,16,2020-12-24,5,True,False,False,False,False,True
FE_00148,FE_00148,,fire,1,YD_0006,2021-02-03 12:00:00,영동 해안형,2,12,2021-02-03,5,True,False,True,True,False,True
FE_00149,FE_00149,,fire,1,YD_0006,2021-02-03 16:00:00,영동 해안형,2,16,2021-02-03,5,True,False,True,True,False,True
FE_00150,FE_00150,,fire,1,YD_0006,2021-02-11 09:00:00,영동 해안형,2,9,2021-02-11,5,True,False,True,True,False,True
FE_00151,FE_00151,,fire,1,YD_0006,2021-03-14 12:00:00,영동 해안형,3,12,2021-03-14,5,True,False,False,False,False,True
FE_00152,FE_00152,,fire,1,YD_0006,2021-03-17 13:00:00,영동 해안형,3,13,2021-03-17,5,True,False,False,False,False,True
FE_00153,FE_00153,,fire,1,YD_0006,2021-03-27 17:00:00,영동 해안형,3,17,2021-03-27,5,True,False,False,False,False,True
FE_00154,FE_00154,,fire,1,YD_0006,2021-04-07 20:00:00,영동 해안형,4,20,2021-04-07,5,True,False,False,False,False,True
FE_00155,FE_00155,,fire,1,YD_0006,2021-04-14 13:00:00,영동 해안형,4,13,2021-04-14,5,True,False,False,False,False,True
FE_00156,FE_00156,,fire,1,YD_0007,2020-02-08 08:00:00,영동 해안형,2,8,2020-02-08,5,True,False,True,False,False,True
FE_00157,FE_00157,,fire,1,YD_0007,2020-02-23 07:00:00,영동 해안형,2,7,2020-02-23,5,True,False,True,False,False,True
FE_00158,FE_00158,,fire,1,YD_0007,2020-03-15 14:00:00,영동 해안형,3,14,2020-03-15,5,True,False,False,False,False,True
FE_00159,FE_00159,,fire,1,YD_0007,2020-04-01 14:00:00,영동 해안형,4,14,2020-04-01,5,True,False,False,False,False,True
FE_00160,FE_00160,,fire,1,YD_0007,2020-05-01 02:00:00,영동 해안형,5,2,2020-05-01,5,True,False,False,False,False,True
FE_00161,FE_00161,,fire,1,YD_0007,2021-02-03 17:00:00,영동 해안형,2,17,2021-02-03,5,True,False,True,True,False,True
