기후지형유형,계절,기상변수,FWI지수,N_셀일,Spearman_rho,p_value,q_FDR_global
영서 내륙형,겨울,강수량_mm,FFMC,7964,-0.4649216157274249,0.0,0.0
영서 내륙형,겨울,강수량_mm,DMC,7964,-0.1747539539194879,1.2152557220356422e-55,1.7676446865972976e-55
영서 내륙형,겨울,강수량_mm,DC,7964,-0.13779187093621909,4.648935252127009e-35,6.227410942384086e-35
영서 내륙형,겨울,강수량_mm,ISI,7964,-0.4074965467765555,0.0,0.0
영서 내륙형,겨울,강수량_mm,BUI,7964,-0.17433985201970825,2.2053520569588557e-55,3.1916652884630676e-55
영서 내륙형,겨울,강수량_mm,FWI,7964,-0.36105452184730474,8.004371384346372e-244,2.0400521758334118e-243
영서 내륙형,봄,기온_C,FFMC,8096,0.3697298480012909,1.0613561032547163e-260,2.88368450695621e-260
영서 내륙형,봄,기온_C,DMC,8096,0.4808110288043646,0.0,0.0
영서 내륙형,봄,기온_C,DC,8096,0.3970311751945288,7.097470922367121e-304,2.1292412767101365e-303
영서 내륙형,봄,기온_C,ISI,8096,0.33953409499787796,1.3584639033229467e-217,3.3155729165848193e-217
영서 내륙형,봄,기온_C,BUI,8096,0.49438008778367737,0.0,0.0
영서 내륙형,봄,기온_C,FWI,8096,0.4162142054351675,0.0,0.0
영서 내륙형,봄,습도_pct,FFMC,8096,-0.7588693778420921,0.0,0.0
영서 내륙형,봄,습도_pct,DMC,8096,-0.4708705258518847,0.0,0.0
영서 내륙형,봄,습도_pct,DC,8096,-0.07217931939971628,7.92520490550518e-11,9.510245886606216e-11
영서 내륙형,봄,습도_pct,ISI,8096,-0.7696771822081286,0.0,0.0
영서 내륙형,봄,습도_pct,BUI,8096,-0.4196447749670797,0.0,0.0
영서 내륙형,봄,습도_pct,FWI,8096,-0.728552595121208,0.0,0.0
영서 내륙형,봄,풍속_km_h,FFMC,8096,0.09850663101785613,6.470094492908307e-19,8.031841439472381e-19
영서 내륙형,봄,풍속_km_h,DMC,8096,0.12788080170535981,7.202964815938533e-31,9.472392086713687e-31
영서 내륙형,봄,풍속_km_h,DC,8096,-0.016406733841191682,0.1399136113747505,0.14760117243929724
영서 내륙형,봄,풍속_km_h,ISI,8096,0.27569490236300614,3.6866091477347854e-141,7.125794862735692e-141
영서 내륙형,봄,풍속_km_h,BUI,8096,0.11731650496566824,3.286408056143278e-26,4.2443296868576863e-26
영서 내륙형,봄,풍속_km_h,FWI,8096,0.239777680011663,3.1350761825040233e-106,5.37441631286404e-106
영서 내륙형,봄,강수량_mm,FFMC,8096,-0.6668305714687148,0.0,0.0
영서 내륙형,봄,강수량_mm,DMC,8096,-0.2935822518881956,1.1544237393524314e-160,2.3413664572781706e-160
영서 내륙형,봄,강수량_mm,DC,8096,-0.1321084800319767,7.559844524804626e-33,1.00797926997395e-32
영서 내륙형,봄,강수량_mm,ISI,8096,-0.6466773582496684,0.0,0.0
영서 내륙형,봄,강수량_mm,BUI,8096,-0.2713632198303118,1.1891826023049788e-136,2.2531880885778548e-136
영서 내륙형,봄,강수량_mm,FWI,8096,-0.6165069447325335,0.0,0.0
영서 내륙형,여름,기온_C,FFMC,8096,0.5230404531026289,0.0,0.0
영서 내륙형,여름,기온_C,DMC,8096,0.3416217866460311,2.0094087814108797e-220,4.988876974537356e-220
