fire_exposure_id,기상셀ID,기준시각,year,month,hour,date,climate_type,raw_event_n,fire_ids,match_key,base_pool_n,canadian_pool_n,matched_control_n,min_abs_date_diff_days,median_abs_date_diff_days,max_abs_date_diff_days,min_abs_time_diff_hours,median_abs_time_diff_hours,max_abs_time_diff_hours,full_5_matched,match_status
FE_00078,YD_0003,2020-10-16 14:00:00,2020,10,14,2020-10-16,영동 해안형,1,F_008005,YD_0003|2020|10|14,18,18,5,5,10.0,11,120.0,240.0,264.0,True,full_5
FE_00079,YD_0003,2020-10-16 15:00:00,2020,10,15,2020-10-16,영동 해안형,1,F_008007,YD_0003|2020|10|15,19,19,5,6,9.0,12,144.0,216.0,288.0,True,full_5
FE_00080,YD_0003,2020-10-16 16:00:00,2020,10,16,2020-10-16,영동 해안형,1,F_008020,YD_0003|2020|10|16,19,19,5,5,8.0,12,120.0,192.0,288.0,True,full_5
FE_00081,YD_0003,2020-10-19 08:00:00,2020,10,8,2020-10-19,영동 해안형,1,F_008060,YD_0003|2020|10|8,19,19,5,6,8.0,18,144.0,192.0,432.0,True,full_5
FE_00082,YD_0003,2020-10-19 09:00:00,2020,10,9,2020-10-19,영동 해안형,1,F_008061,YD_0003|2020|10|9,18,18,5,3,8.0,16,72.0,192.0,384.0,True,full_5
FE_00083,YD_0003,2020-10-19 10:00:00,2020,10,10,2020-10-19,영동 해안형,1,F_008063,YD_0003|2020|10|10,18,18,5,7,13.0,16,168.0,312.0,384.0,True,full_5
FE_00084,YD_0003,2020-10-19 13:00:00,2020,10,13,2020-10-19,영동 해안형,1,F_008093,YD_0003|2020|10|13,18,18,5,5,10.0,16,120.0,240.0,384.0,True,full_5
FE_00085,YD_0003,2020-10-19 14:00:00,2020,10,14,2020-10-19,영동 해안형,1,F_008064,YD_0003|2020|10|14,18,18,5,3,6.0,13,72.0,144.0,312.0,True,full_5
FE_00086,YD_0003,2020-10-30 18:00:00,2020,10,18,2020-10-30,영동 해안형,1,F_008593,YD_0003|2020|10|18,18,18,5,9,22.0,26,216.0,528.0,624.0,True,full_5
FE_00087,YD_0003,2020-11-02 08:00:00,2020,11,8,2020-11-02,영동 해안형,1,F_008597,YD_0003|2020|11|8,26,26,5,9,11.0,24,216.0,264.0,576.0,True,full_5
FE_00088,YD_0003,2020-12-15 10:00:00,2020,12,10,2020-12-15,영동 해안형,2,F_008689;F_008701,YD_0003|2020|12|10,26,26,5,3,5.0,14,72.0,120.0,336.0,True,full_5
FE_00089,YD_0003,2021-01-17 15:00:00,2021,1,15,2021-01-17,영동 해안형,2,F_008746;F_008748,YD_0003|2021|1|15,21,21,5,8,10.0,16,192.0,240.0,384.0,True,full_5
FE_00090,YD_0003,2021-01-29 12:00:00,2021,1,12,2021-01-29,영동 해안형,2,F_008818;F_008828,YD_0003|2021|1|12,22,22,5,14,23.0,27,336.0,552.0,648.0,True,full_5
FE_00091,YD_0003,2021-02-02 13:00:00,2021,2,13,2021-02-02,영동 해안형,1,F_009464,YD_0003|2021|2|13,8,8,5,4,18.0,20,96.0,432.0,480.0,True,full_5
FE_00092,YD_0003,2021-02-03 10:00:00,2021,2,10,2021-02-03,영동 해안형,26,F_009533;F_009534;F_009540;F_009547;F_009549;F_009556;F_009587;F_009590;F_009595;F_009600;F_009608;F_009613;F_009623;F_009627;F_009635;F_009636;F_009637;F_009639;F_009683;F_009688;F_009697;F_009726;F_009731;F_009741;F_009743;F_009839,YD_0003|2021|2|10,6,6,5,3,19.0,21,72.0,456.0,504.0,True,full_5
FE_00093,YD_0003,2021-02-03 11:00:00,2021,2,11,2021-02-03,영동 해안형,27,F_009559;F_009568;F_009569;F_009572;F_009575;F_009578;F_009651;F_009654;F_009655;F_009656;F_009669;F_009670;F_009789;F_009790;F_009791;F_009793;F_009805;F_009807;F_009808;F_009809;F_009812;F_009818;F_009841;F_009857;F_009898;F_009900;F_009902,YD_0003|2021|2|11,7,7,5,8,19.0,21,192.0,456.0,504.0,True,full_5
FE_00094,YD_0003,2021-02-09 10:00:00,2021,2,10,2021-02-09,영동 해안형,1,F_010081,YD_0003|2021|2|10,6,6,5,3,12.0,15,72.0,288.0,360.0,True,full_5
FE_00095,YD_0003,2021-02-13 12:00:00,2021,2,12,2021-02-13,영동 해안형,1,F_010124,YD_0003|2021|2|12,7,7,5,7,9.0,11,168.0,216.0,264.0,True,full_5
FE_00096,YD_0003,2021-02-17 17:00:00,2021,2,17,2021-02-17,영동 해안형,1,F_010188,YD_0003|2021|2|17,7,7,5,4,7.0,12,96.0,168.0,288.0,True,full_5
FE_00097,YD_0003,2021-02-27 10:00:00,2021,2,10,2021-02-27,영동 해안형,1,F_010285,YD_0003|2021|2|10,6,6,5,3,5.0,21,72.0,120.0,504.0,True,full_5
FE_00098,YD_0003,2021-04-01 16:00:00,2021,4,16,2021-04-01,영동 해안형,1,F_010427,YD_0003|2021|4|16,27,27,5,10,15.0,24,240.0,360.0,576.0,True,full_5
FE_00099,YD_0004,2020-01-30 14:00:00,2020,1,14,2020-01-30,영동 해안형,1,F_007634,YD_0004|2020|1|14,27,27,5,4,15.0,22,96.0,360.0,528.0,True,full_5
FE_00100,YD_0004,2020-05-01 23:00:00,2020,5,23,2020-05-01,영동 해안형,1,F_007789,YD_0004|2020|5|23,28,28,5,8,15.0,29,192.0,360.0,696.0,True,full_5
FE_00101,YD_0004,2020-10-25 15:00:00,2020,10,15,2020-10-25,영동 해안형,1,F_011020,YD_0004|2020|10|15,25,25,5,5,15.0,20,120.0,360.0,480.0,True,full_5
FE_00102,YD_0004,2020-10-27 06:00:00,2020,10,6,2020-10-27,영동 해안형,1,F_011024,YD_0004|2020|10|6,25,25,5,9,15.0,21,216.0,360.0,504.0,True,full_5
FE_00103,YD_0004,2020-11-08 18:00:00,2020,11,18,2020-11-08,영동 해안형,1,F_008606,YD_0004|2020|11|18,21,21,5,3,17.0,21,72.0,408.0,504.0,True,full_5
FE_00104,YD_0004,2020-11-23 10:00:00,2020,11,10,2020-11-23,영동 해안형,1,F_011064,YD_0004|2020|11|10,21,21,5,3,7.0,20,72.0,168.0,480.0,True,full_5
FE_00105,YD_0004,2021-01-25 16:00:00,2021,1,16,2021-01-25,영동 해안형,1,F_008766,YD_0004|2021|1|16,24,24,5,4,14.0,24,96.0,336.0,576.0,True,full_5
FE_00106,YD_0004,2021-01-26 09:00:00,2021,1,9,2021-01-26,영동 해안형,1,F_008791,YD_0004|2021|1|9,25,25,5,3,13.0,25,72.0,312.0,600.0,True,full_5
FE_00107,YD_0004,2021-02-01 13:00:00,2021,2,13,2021-02-01,영동 해안형,19,F_008919;F_008920;F_008935;F_008943;F_008949;F_008957;F_008958;F_008960;F_008966;F_008975;F_008981;F_009039;F_009049;F_009089;F_009166;F_009167;F_009169;F_009235;F_009240,YD_0004|2021|2|13,20,20,5,12,16.0,23,288.0,384.0,552.0,True,full_5
FE_00108,YD_0004,2021-02-06 08:00:00,2021,2,8,2021-02-06,영동 해안형,1,F_010046,YD_0004|2021|2|8,19,19,5,4,14.0,20,96.0,336.0,480.0,True,full_5
FE_00109,YD_0004,2021-02-07 08:00:00,2021,2,8,2021-02-07,영동 해안형,1,F_010053,YD_0004|2021|2|8,19,19,5,4,10.0,17,96.0,240.0,408.0,True,full_5
FE_00110,YD_0004,2021-03-26 08:00:00,2021,3,8,2021-03-26,영동 해안형,1,F_010382,YD_0004|2021|3|8,26,26,5,5,12.0,24,120.0,288.0,576.0,True,full_5
FE_00111,YD_0004,2021-04-09 05:00:00,2021,4,5,2021-04-09,영동 해안형,1,F_011198,YD_0004|2021|4|5,25,25,5,5,10.0,18,120.0,240.0,432.0,True,full_5
FE_00112,YD_0005,2020-02-03 09:00:00,2020,2,9,2020-02-03,영동 해안형,1,F_007645,YD_0005|2020|2|9,20,20,5,18,22.0,26,432.0,528.0,624.0,True,full_5
FE_00113,YD_0005,2020-02-12 07:00:00,2020,2,7,2020-02-12,영동 해안형,1,F_010745,YD_0005|2020|2|7,20,20,5,3,5.0,12,72.0,120.0,288.0,True,full_5
FE_00114,YD_0005,2020-03-28 19:00:00,2020,3,19,2020-03-28,영동 해안형,1,F_010826,YD_0005|2020|3|19,26,26,5,3,16.0,27,72.0,384.0,648.0,True,full_5
FE_00115,YD_0005,2020-04-10 12:00:00,2020,4,12,2020-04-10,영동 해안형,1,F_010867,YD_0005|2020|4|12,25,25,5,4,9.0,14,96.0,216.0,336.0,True,full_5
FE_00116,YD_0005,2020-11-18 13:00:00,2020,11,13,2020-11-18,영동 해안형,1,F_008612,YD_0005|2020|11|13,25,25,5,3,6.0,15,72.0,144.0,360.0,True,full_5
FE_00117,YD_0005,2020-12-06 22:00:00,2020,12,22,2020-12-06,영동 해안형,1,F_008623,YD_0005|2020|12|22,22,22,5,4,6.0,22,96.0,144.0,528.0,True,full_5
FE_00118,YD_0005,2020-12-15 14:00:00,2020,12,14,2020-12-15,영동 해안형,1,F_008694,YD_0005|2020|12|14,22,22,5,6,9.0,14,144.0,216.0,336.0,True,full_5
FE_00119,YD_0005,2021-01-25 21:00:00,2021,1,21,2021-01-25,영동 해안형,1,F_008770,YD_0005|2021|1|21,22,22,5,4,14.0,16,96.0,336.0,384.0,True,full_5
FE_00120,YD_0005,2021-01-29 14:00:00,2021,1,14,2021-01-29,영동 해안형,1,F_008821,YD_0005|2021|1|14,23,23,5,7,17.0,27,168.0,408.0,648.0,True,full_5
FE_00121,YD_0005,2021-01-29 15:00:00,2021,1,15,2021-01-29,영동 해안형,3,F_008822;F_008823;F_008824,YD_0005|2021|1|15,23,23,5,6,8.0,21,144.0,192.0,504.0,True,full_5
FE_00122,YD_0005,2021-01-29 23:00:00,2021,1,23,2021-01-29,영동 해안형,1,F_008834,YD_0005|2021|1|23,22,22,5,7,17.0,27,168.0,408.0,648.0,True,full_5
FE_00123,YD_0005,2021-01-30 12:00:00,2021,1,12,2021-01-30,영동 해안형,1,F_008859,YD_0005|2021|1|12,23,23,5,8,15.0,26,192.0,360.0,624.0,True,full_5
FE_00124,YD_0005,2021-01-30 13:00:00,2021,1,13,2021-01-30,영동 해안형,1,F_008860,YD_0005|2021|1|13,23,23,5,11,19.0,24,264.0,456.0,576.0,True,full_5
FE_00125,YD_0005,2021-02-01 10:00:00,2021,2,10,2021-02-01,영동 해안형,2,F_008898;F_009263,YD_0005|2021|2|10,6,6,5,4,7.0,27,96.0,168.0,648.0,True,full_5
FE_00126,YD_0005,2021-02-02 11:00:00,2021,2,11,2021-02-02,영동 해안형,1,F_009348,YD_0005|2021|2|11,6,6,5,3,6.0,26,72.0,144.0,624.0,True,full_5
