fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score
F_007693,2020-03-21 15:00:00,YS_0022,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,15,산불위험계절(11~5월),오후(14~17시),나지,인공나지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.13170304788940088,-0.1034532877255913,0.38032560879217564
F_007694,2020-03-21 17:00:00,YD_0009,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,17,산불위험계절(11~5월),오후(14~17시),미분류,미분류,비인접,기타 인간활동 발화 후보,-0.31034702581701223,0.9640545081849279,1.5528717891052435
F_007695,2020-03-21 15:00:00,YD_0009,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,15,산불위험계절(11~5월),오후(14~17시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.2801100624893253,1.1336774261270355,0.8557494783803152
F_007696,2020-03-24 13:00:00,YS_0014,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,13,산불위험계절(11~5월),한낮(10~13시),초지,자연초지,비인접,기타 인간활동 발화 후보,1.87606012632195,0.14142428764771825,0.691302138350009
F_007697,2020-03-25 16:00:00,YS_0068,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,3,16,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,0.027346832950828886,-0.9875387385632574,0.641656177254558
F_007698,2020-03-25 16:00:00,YS_0068,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,3,16,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,-0.31362911405477145,-0.531517508737346,0.30750229646969246
F_007699,2020-03-26 11:00:00,YD_0008,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,11,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,0.5050740883232421,-1.1217215761708064,-0.6846893595535753
F_007700,2020-03-26 11:00:00,YD_0008,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,11,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,-0.11143107972005023,-1.0313980626316628,-0.7989602445918343
F_007701,2020-03-26 13:00:00,YS_0025,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,3,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.02055357511894327,-0.02205242037151984,-0.031261298250493764
F_007702,2020-03-26 12:00:00,YS_0006,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,12,산불위험계절(11~5월),한낮(10~13시),미분류,미분류,비인접,기타 인간활동 발화 후보,-0.26007893183007386,-0.2541945455748156,0.5571923865402093
F_007703,2020-03-28 19:00:00,YS_0050,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,19,산불위험계절(11~5월),저녁(18~23시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.07305049698638717,0.6166012219195791,0.41557249174240335
F_007704,2020-03-31 10:00:00,YS_0052,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,10,산불위험계절(11~5월),한낮(10~13시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.8275197758645585,-0.7009015006622492,-4.855484851700486
F_007705,2020-03-31 13:00:00,YS_0060,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,13,산불위험계절(11~5월),한낮(10~13시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.4599893203656173,-1.182415859639963,1.0555618233991897
F_007706,2020-03-31 13:00:00,YS_0060,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,13,산불위험계절(11~5월),한낮(10~13시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.31986024947290387,-0.7887450101684944,1.074651478155755
F_007707,2020-03-31 13:00:00,YS_0060,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,13,산불위험계절(11~5월),한낮(10~13시),미분류,미분류,비인접,기타 인간활동 발화 후보,0.03025245472344598,-0.18037209542034202,1.4103730545505109
